,context,question,answer
283,"Once upon a time, there was a little white mouse that lived on a farm. He liked to hide in the hay stacks where it was warm through the day and night. On cold winter days, he would wiggle out from the hay stack to get closer to the lamp in the barn, getting some extra warmth. One winter day, the mouse was very cold, but needed something to eat. He left the hay stack, and ran past the lamp. He ran across an old wood board that was laying on top of the snow - the mouse didn't have mittens and wanted to keep his feet warm. He ran and ran until he couldn't any longer. The cold weather was keeping every living thing inside, so the mouse was all alone. He walked towards the house and met a little bug named Fred. Fred told the mouse that he went inside and found lots of crumbs to eat on the kitchen floor. The mouse waited until the farmer's wife, Julie, came out the back door, and then the mouse ran into the kitchen. There were bread crumbs everywhere! The mouse ate as many as he could before anyone found him. He heard the back door open again, and hid under the oven. It was warm there - there must have been a pie baking. Farmer Bill liked pies more than bread, cake, or cookies. The mouse stayed there to warm up, then ran back to the barn to sleep for the night.",And what does he like most?,pies 
284,"Sun Microsystems, Inc. was an American company that sold computers, computer components, software, and information technology services, and that created the Java programming language, the Solaris operating system, ZFS, the Network File System (NFS) and SPARC. Sun contributed significantly to the evolution of several key computing technologies, among them Unix, RISC processors, thin client computing, and virtualized computing. Sun was founded on February 24, 1982. At its height, the Sun headquarters were in Santa Clara, California (part of Silicon Valley), on the former west campus of the Agnews Developmental Center. 

On April 20, 2009 it was announced that Oracle Corporation would acquire Sun for 7.4 billion. The deal was completed on January 27, 2010. 

Sun products included computer servers and workstations built on its own RISC-based SPARC processor architecture as well as on x86-based AMD's Opteron and Intel's Xeon processors; storage systems; and a suite of software products including the Solaris operating system, developer tools, Web infrastructure software, and identity management applications. Other technologies include the Java platform, MySQL, and NFS. Sun was a proponent of open systems in general and Unix in particular, and a major contributor to open-source software. At various times, Sun had manufacturing facilities in several locations worldwide, including Hillsboro, Oregon, Linlithgow, Scotland, and Newark, California; however, by the time the company was acquired, it had outsourced most manufacturing.",And any other?,"manufacturing facilities in several locations worldwide, including Hillsboro, Oregon, Linlithgow, Scotland, and Newark, California; however, by the time the company was acquired, it had outsourced most manufacturing."
285,"(CNN) -- We first thought about starting this piece with the story of Saleha Begum, a survivor of Bangladesh's 1971 war in which, some reports say, as many as 400,000 women were raped. Begum had been tied to a banana tree and repeatedly gang raped and burned with cigarettes for months until she was shot and left for dead in a pile of women. She didn't die, though, and was able to return home, ravaged and five months pregnant. When she got home she was branded a ""slut."" 

We also thought of starting with the story of Ester Abeja, a woman in Uganda who was forcibly held as a ""bush wife"" by the Lord's Resistance Army. Repeated rape with objects destroyed her insides. Her captors also made her kill her 1-year-old daughter by smashing the baby's head into a tree. 

We ran through a dozen other stories of women like Begum and Abeja, and finally realized that it would be too difficult to find the right one -- the tale that would express exactly how and in what ways sexualized violence is being used as a weapon of war to devastate women and tear apart communities around the world, conflict by conflict, from Libya to the Democratic Republic of Congo. 

It is because of this complexity that we must understand how sexualized violence is being used. We must understand in order to stop it -- just as, when seeking to defuse a bomb, it is crucial to know its components. Both the World Health Organization and the U.N. Security Council have recognized that there is a lack of research on the nature and extent of sexualized violence in conflict, even as there is increasing demand from U.N. bodies, donors, and others for better analysis to work toward prevention and healing. ",Where was Ester Abeja from?,"of Ester Abeja, a woman in Uganda who was"
286,"Al-Qaeda ( or ; ', , translation: ""The Base"", ""The Foundation"" or ""The Fundament"" and alternatively spelled al-Qaida, al-Qæda and sometimes al-Qa'ida) is a militant Sunni Islamist multi-national organization founded in 1988 by Osama bin Laden, Abdullah Azzam, and several other Arab volunteers who fought against the Soviet invasion of Afghanistan in the 1980s. 

Al-Qaeda operates as a network made up of Islamic extremist, Salafist jihadists. It has been designated as a terrorist group by the United Nations Security Council, the North Atlantic Treaty Organization (NATO), the European Union, the United States, Russia, India, and various other countries (see below). Al-Qaeda has mounted attacks on civilian and military targets in various countries, including the 1998 U.S. embassy bombings, the September 11 attacks, and the 2002 Bali bombings. The U.S. government responded to the September 11 attacks by launching the ""War on Terror"". With the loss of key leaders, culminating in the death of Osama bin Laden, al-Qaeda's operations have devolved from actions that were controlled from the , to actions by associated groups and ""lone-wolf"" operators. Characteristic techniques employed by al-Qaeda include suicide attacks and the simultaneous bombing of different targets. Activities ascribed to it may involve members of the movement who have made a pledge of loyalty to bin Laden, or the much more numerous ""al-Qaeda-linked"" individuals who have undergone training in one of its camps in Afghanistan, Pakistan, Iraq or Sudan. Al-Qaeda ideologues envision a complete break from all foreign influences in Muslim countries, and the creation of a new caliphate ruling over the entire Muslim world.",By who?,"Osama bin Laden, Abdullah Azzam, and several other Arab volunteers who fought against the Soviet invasion of Afghanistan in the 1980s."
287,"(CNN) -- A year to the day after he killed his girlfriend, South African ""blade runner"" Oscar Pistorius broke his silence Friday, describing her death as a ""devastating accident."" 

The double amputee Olympic star is charged with premeditated murder in the shooting death of his girlfriend, Reeva Steenkamp, a model and law school graduate. 

He has never denied killing the woman he calls the love of his life on Valentine's Day last year. 

But he maintains that he mistook her for a home invader when he shot her in the bathroom of his upscale home in Pretoria. 

Since being freed on bail, he has remained largely out of the spotlight. He released a statement Friday, the anniversary of her death, saying he will carry the ""complete trauma"" of the day forever. 

""No words can adequately capture my feelings about the devastating accident that has caused such heartache for everyone who truly loved -- and continues to love Reeva,"" he said on his website. 

""The pain and sadness -- especially for Reeva's parents, family and friends consumes me with sorrow."" 

Pistorius, an Olympic sprinter, also tweeted about her death for the first time since the shooting. 

""A few words from my heart,"" the tweet said, linking to the statement on his website. 

His statement got mixed reviews on social media. 

""Apparently Oscar Pistorius is 'consumed by sorrow'. All these perpetrators claiming victim status. Again, I want to scream,"" Marianna Tortell tweeted. 

Others were more forgiving. 

""God bless you, Oscar,"" @Sissi_olcp tweeted. ""Such kind and heartfelt words. My thoughts and prayers are with you, your family and Reeva's loved ones."" ",is it a modest house?,his upscale home
288,"Paris (CNN) -- Yasser Arafat's widow on Tuesday questioned the findings of French scientists that the Palestinian leader did not die from radioactive polonium poisoning but rather from natural causes. 

The conclusion, leaked to multiple French media agencies and Reuters, contradicts the findings of Swiss forensic scientists who concluded last month that samples taken from Arafat's exhumed body were consistent with polonium-210 exposure but did not definitely prove that he was poisoned. 

""I'm convinced there is something wrong, and he did not die from a natural death,"" Suha Arafat said at a news conference in Paris. 

She said she is requesting that the Swiss findings be made available to French authorities investigating her husband's death. She said the medical experts in Switzerland and France came from different medical fields. 

""I don't doubt them. But they are different skills. They are different types of medicines,"" she said. 

The French findings will do little to quell the rumors that Arafat was poisoned. 

Arafat died at age 75 at a Paris military hospital in November 2004 after he had a brain hemorrhage and slipped into a coma. Palestinian officials said in the days before his death that Arafat had a blood disorder -- though they ruled out leukemia -- and that he had digestive problems. 

Rumors of poisoning circulated at the time, but Palestinian officials denied them. 

Two weeks after Arafat's death, his nephew said medical records showed no cause of death. Nasser al-Kidwa, who was the Palestinian observer to the United Nations, said toxicology tests showed ""no known poison,"" though he refused to exclude the possibility that poison caused his uncle's death. ",How old was he?,Arafat died at age 75
289,"TWO deer jumped out in front of 16-year-old Amanda Floyd's car. She stepped on the brakes . and stopped just in time. 

But then she started texting. Distracted , Amanda turned left and right, then crashed into another car. 

Luckily she wasn't in a real car. She was in a driving simulator at Roosevelt High School, Ohio, US.""I never really realized you swerve that much,"" Amanda, a junior, said. She added that she doesn't text while driving any more. The Ohio Department of Transportation (ODOT) and State Highway Patrol brought the simulator to the school. They said they wanted to help students learn about the dangers of driving drunk, while texting, or while talking on the phone. 

Last year, state authorities reported 39 fatalities , 454 serious injuries and 12,410 crashes caused by distracted driving. Experts said that real numbers are probably higher. 

The simulator is basically a computer game. Like many computer games, it was a hit with the students. They lined up and crowded around to watch each other take turns. The simulator has a steering wheel , brake and gas pedals . It is made up of three large computer screens on a table. 

Students choose a distraction, for example driving drunk or driving while texting. They always crash, of course. Then they are pulled over by police, and learn the bad results of their driving: how much damage they've caused, what their fine is, if anyone died in the accident, and if they're going to go to prison. 

""It teaches how to drive without being on the road,"" said Shante Thompson, 16. She had just crashed into a deer. 

ODOT spokesman Justin Chesnic said hundreds of kids have gone behind the wheel so far. He said even more have benefited from watching their classmates. 

""Driving is such a major responsibility, so take it seriously,"" he said. ""Put away your cell phone. Don't put your makeup on. Don't be eating or playing with the radio. 

""A lot of the accidents out there are because of distracted driving. It cannot only change your life, but it can change someone else's life forever. The results are serious.""MCT",How many crashes are caused by distracted driving?,"12,410 crashes caused by distracted driving"
290,"CHAPTER XXI. BLACK STAR AND NIGHT 

The time had come for Venters and Bess to leave their retreat. They were at great pains to choose the few things they would be able to carry with them on the journey out of Utah. 

""Bern, whatever kind of a pack's this, anyhow?"" questioned Bess, rising from her work with reddened face. 

Venters, absorbed in his own task, did not look up at all, and in reply said he had brought so much from Cottonwoods that he did not recollect the half of it. 

""A woman packed this!"" Bess exclaimed. 

He scarcely caught her meaning, but the peculiar tone of her voice caused him instantly to rise, and he saw Bess on her knees before an open pack which he recognized as the one given him by Jane. 

""By George!"" he ejaculated, guiltily, and then at sight of Bess's face he laughed outright. 

""A woman packed this,"" she repeated, fixing woeful, tragic eyes on him. 

""Well, is that a crime?' 

""There--there is a woman, after all!"" 

""Now Bess--"" 

""You've lied to me!"" 

Then and there Venters found it imperative to postpone work for the present. All her life Bess had been isolated, but she had inherited certain elements of the eternal feminine. 

""But there was a woman and you did lie to me,"" she kept repeating, after he had explained. 

""What of that? Bess, I'll get angry at you in a moment. Remember you've been pent up all your life. I venture to say that if you'd been out in the world you d have had a dozen sweethearts and have told many a lie before this."" ",How does he say things could be different if that wasn't true?,"I venture to say that if you'd been out in the world you d have had a dozen sweethearts and have told many a lie before this."""
291,"CHAPTER XXV. 

MISS AMEDROZ HAS SOME HASHED CHICKEN. 

Clara felt herself to be a coward as the Aylmer Park carriage, which had been sent to meet her at the station, was drawn up at Sir Anthony Aylmer's door. She had made up her mind that she would not bow down to Lady Aylmer, and yet she was afraid of the woman. As she got out of the carriage, she looked up, expecting to see her in the hall; but Lady Aylmer was too accurately acquainted with the weights and measures of society for any such movement as that. Had her son brought Lady Emily to the house as his future bride, Lady Aylmer would probably have been in the hall when the arrival took place; and had Clara possessed ten thousand pounds of her own, she would probably have been met at the drawing-room door; but as she had neither money nor title,--as she in fact brought with her no advantages of any sort, Lady Aylmer was found stitching a bit of worsted, as though she had expected no one to come to her. And Belinda Aylmer was stitching also,--by special order from her mother. The reader will remember that Lady Aylmer was not without strong hope that the engagement might even yet be broken off. Snubbing, she thought, might probably be efficacious to this purpose, and so Clara was to be snubbed. 

Clara, who had just promised to do her best to gain Lady Aylmer's opinion, and who desired to be in some way true to her promise, though she thoroughly believed that her labour would be in vain, put on her pleasantest smile as she entered the room. Belinda, under the pressure of the circumstances, forgetting somewhat of her mother's injunctions, hurried to the door to welcome the stranger. Lady Aylmer kept her chair, and even maintained her stitch, till Clara was half across the room. Then she got up, and, with great mastery over her voice, made her little speech. ",How much would Clara need to be met at the drawing room door?,"and had Clara possessed ten thousand pounds of her own, she would probably have been met at the drawing-room door;"
292,"CHAPTER XV 

SIGNS OF THE TIMES 

""If she is really Lucy Rogers, she'll be missing tomorrow morning,"" said Beth when she had told her cousins of the encounter in the corridor. 

But Eliza Parsons was still at Elmhurst the next day, calmly pursuing her duties, and evidently having forgotten or decided to ignore the young man who had so curiously mistaken her for another. Beth took occasion to watch her movements, so far as she could, and came to the conclusion that the girl was not acting a part. She laughed naturally and was too light-hearted and gay to harbor a care of any sort in her frivolous mind. 

But there was a mystery about her; that could not be denied. Even if she were but a paid spy of Erastus Hopkins there was a story in this girl's life, brief as it had been. 

Beth was full of curiosity to know this story. 

As for Tom Gates, he had been so horrified by his mistake that he tried to avoid meeting Eliza again. This was not difficult because the girl kept pretty closely to the linen room, and Tom was chiefly occupied in the library. 

Kenneth had little chance to test his secretary's abilities just then, because the girls pounced upon the new recruit and used his services in a variety of ways. Tom Gates's anxiety to give satisfaction made him willing to do anything, but they refrained from sending him often to town because he was sensitive to the averted looks and evident repulsion of those who knew he had recently been a ""jail-bird."" But there was plenty for him to do at Elmhurst, where they were all as busy as bees; and whatever the young man undertook he accomplished in a satisfactory manner. ",Was she mysterious?,But there was a mystery about her
293,"The Australian Antarctic Territory (AAT) is a part of Antarctica. It was claimed by the United Kingdom and placed under the authority of the Commonwealth of Australia in 1933. It is the largest territory of Antarctica claimed by any nation. In 1961, the Antarctic Treaty came into force. Article 4 deals with territorial claims, and although it does not renounce or diminish any preexisting claims to sovereignty, it also does not prejudice the position of Contracting Parties in their recognition or non-recognition of territorial sovereignty. As a result, only four other states recognise Australia's claim to sovereignty in Antarctica. 

AAT consists of all the islands and territory south of 60°S and between 45°E and 160°E, except for Adélie Land (136°E to 142°E), which divides the territory into Western AAT (the larger portion) and Eastern AAT. It is bounded by Queen Maud Land in the West and by Ross Dependency in the East. The area is estimated at 5,896,500 km. 

The territory is inhabited by the staff of research stations. The Australian Antarctic Division administers the area primarily by maintaining three year-round stations (Mawson, Davis and Casey), which support various research projects. 

The territory is divided into nine districts, which are from West to East: These regions are split into two separate areas geographically, with George V Land and Oates Land lying to the east of the French Territorial claim of Adélie Land, and all other districts lying to its west.",What sort of work is done there?,research 
294,"(CNN) -- An octogenarian climber has abandoned his bid to reclaim the title of the oldest man to climb Mt Everest after a combination of poor climbing weather and government red tape forced him to call off the ascent. 

Veteran Nepali climber Min Bahadur Sherchan, 81, had been acclimatizing at base camp, ready to reclaim his title from longtime rival 80-year-old Yuichiro Miura who became the oldest climber to reach the summit of the world's highest mountain last week. 

However, a government promise to provide one million Nepali rupees (US$11,200) for the bid -- on which other sponsorship money hinged -- was awaiting government Cabinet approval in Kathmandu. 

Team leader Ishwari Poudel told CNN that going up Everest was now too risky because the snow had started to melt, making ladders and other equipment unstable. 

He said that since other expeditions had already left the mountain, there would be no manpower available in the event of a rescue. 

The government had also pledged to help Sherchan's bid by waiving the Everest climbing permit fee of US$10,000 but this was also held up by Cabinet delays. 

Purna Chandra Bhattarai, the Tourism Industry Division of the Ministry of Tourism and Civil Aviation, said his department, which processes climbing permits, had received the application late and the waiver could only be decided by ministers. 

""The government makes decisions following its own procedure,"" he said. 

Sherchan downplayed rumors he was returning due to health concerns. 

""When one goes to climb such a mountain there are small health issues,"" he told CNN. ",What rumors was downplayed?,Sherchan downplayed rumors he was returning due to health concerns.
295,"CHAPTER II. SHEER GOSSIP 

""Where are the other children?"" asked Miss Cornelia, when the first greetings--cordial on her side, rapturous on Anne's, and dignified on Susan's--were over. 

""Shirley is in bed and Jem and Walter and the twins are down in their beloved Rainbow Valley,"" said Anne. ""They just came home this afternoon, you know, and they could hardly wait until supper was over before rushing down to the valley. They love it above every spot on earth. Even the maple grove doesn't rival it in their affections."" 

""I am afraid they love it too well,"" said Susan gloomily. ""Little Jem said once he would rather go to Rainbow Valley than to heaven when he died, and that was not a proper remark."" 

""I suppose they had a great time in Avonlea?"" said Miss Cornelia. 

""Enormous. Marilla does spoil them terribly. Jem, in particular, can do no wrong in her eyes."" 

""Miss Cuthbert must be an old lady now,"" said Miss Cornelia, getting out her knitting, so that she could hold her own with Susan. Miss Cornelia held that the woman whose hands were employed always had the advantage over the woman whose hands were not. 

""Marilla is eighty-five,"" said Anne with a sigh. ""Her hair is snow-white. But, strange to say, her eyesight is better than it was when she was sixty."" 

""Well, dearie, I'm real glad you're all back. I've been dreadful lonesome. But we haven't been dull in the Glen, believe ME. There hasn't been such an exciting spring in my time, as far as church matters go. We've got settled with a minister at last, Anne dearie."" ",Where did Miss Cornelia ask if they'd had a good time at?,I suppose they had a great time in Avonlea
296,"What will you do if you have six million dollars? Different people give different answers. David I will buy an island if I have six million dollars. Then I will be the king of the island. I will invite my friends to my island and we'll have a good time there. Cathy If I get six million dollars, I want to start my own business and I will do a lot of things for my family. For me, nothing is more important than my family. I will buy a new house for my parents and take them to travel around the world. Julie If I have six million dollars, I will put five million in the bank and spend one million. I will visit Sydney, Toronto, Moscow and other interesting cities. I want to try different kinds of delicious food, and build a house with a swimming pool. Victor If I have six million dollars, I will use the money to do everything I like. I will use two million to open my own shop. And I will give another four million to schools and charities. I would like to help students in poor areas to get good education. I want everyone to live a happy life.",How much will she spend?,one million
297,"Su Hua is studying at Cambridge, UK. She has bought a bicycle and is worried about security. Her friend, Kate, found this article and sent it to her. www.zxxk.com 

Introduction 

A lot of crime is against bicycles. About 150,000 bicycles are stolen every year and most are never found. You can prevent this happening by following a few careful steps. 

Basic Security 

Do not leave your bicycle in out-of-the-way places. Always lock your bicycle when you leave. Secure it to lampposts or trees. Take off smaller parts and take them with you, for example lights and saddles . 

Locks 

Get a good lock. There are many different types in the shop. Buy one that has been tested against attack. Ask for a recommendation from a bike shop. 

Marking 

Security marking your bike can act as a deterrent to a thief. It can also help the police find your bicycle. It should be clearly written and include your postcode and your house or flat number. This will provide a simple way to identify your bicycle. 

Registration 

There are a number of companies who will mark your bicycle for you. They will then put your registration number and personal details on their computer database. Then if your bicycle is found it will be easy to contact you. 

Finally 

Keep a record of the bicycle yourself: its make, model and registration number. You can even take a photograph of it, this will prove the bicycle belongs to you.",how does marking help?,Security marking your bike can act as a deterrent to a thief.
298,"Mammals include the largest animals on the planet, the rorquals and other large whales, as well as some of the most intelligent, such as elephants, primates, including humans, and cetaceans. The basic body type is a four-legged land-borne animal, but some mammals are adapted for life at sea, in the air, in trees, or on two legs. The largest group of mammals, the placentals, have a placenta, which enables feeding the fetus during gestation. Mammals range in size from the 30–40 mm (1.2–1.6 in) bumblebee bat to the 33-meter (108 ft) blue whale. 

The word ""mammal"" is modern, from the scientific name Mammalia coined by Carl Linnaeus in 1758, derived from the Latin mamma (""teat, pap""). All female mammals nurse their young with milk, which is secreted from special glands, the mammary glands. According to Mammal Species of the World, 5,416 species were known in 2006. These were grouped in 1,229 genera, 153 families and 29 orders. In 2008 the IUCN completed a five-year, 1,700-scientist Global Mammal Assessment for its IUCN Red List, which counted 5,488 accepted species.",meaning?,"Latin mamma (""teat, pap"""
299,"Susan was very happy to get some money from her grandmother. She spent all morning at her grandmother's house doing chores for her. Grandmother was getting older, and sometimes she needed help with small things around the house. The first thing that Susan did was clean the big window in her house. It was afternoon and the sun was shining, but it was hard to tell because the window was so dirty! Susan used water and soap to clean the window. It was very clean when she was finished. Next, she swept the front porch. She put all of the dirt and leaves into a big bin in the front yard. That was a lot of work. Susan was going back in the house for lunch when she saw that the light in the hall was out. She asked her grandmother to show her where the light bulbs were at so that she could change it. Since she was so short she had to get a stool to stand on. Her grandmother stood by to make sure she didn't fall. This was her last job of the day. After all of her hard work her grandmother made her a ham sandwich with no cheese. Susan did not like cheese. Then her grandmother gave her five dollars for helping. This was a whole dollar more than she got the last time!",What did Susan do first?,clean the big window in her house
300,"London, England (CNN) -- UK Prime Minister Gordon Brown has ordered a full review of security measures at UK airports following the attempted Detroit plane bombing on December 25. 

In a statement published Friday on the prime minister's official Web site, Brown said the UK government will be working with the U.S. to ""examine a range of new techniques to enhance airport security systems beyond traditional measures, such as pat-down searches and sniffer dogs."" 

These new measures might include using ""explosive trace technology, full body scanners and advanced x-ray technology."" 

Writing on the first day of a new decade, Brown issued a reminder of the ongoing threat posed by international terrorism. 

""The new decade,"" he said, ""is starting as the last began -- with al Qaeda creating a climate of fear. These enemies of democracy and freedom... are concealing explosives in ways which are more difficult to detect."" 

The Detroit incident highlighted an ""urgent"" need to tighten airport security measures, Brown said. 

""The UK,"" Brown said, ""will continually explore the most sophisticated devices capable of identifying explosives, guns, knives and other such items anywhere on the body."" 

The alleged plane bomber, Umar Farouk AbdulMutallab is believed to have concealed explosives in his underwear. 

The 23-year-old Nigerian is thought to have linked up with an al Qaeda group based in Yemen after attending the UK's University College London. 

Brown said the plot was a reminder of al Qaeda's increasing influence away from ""better-known homes of international terror such as Pakistan and Afghanistan."" ",what incident was he responding to?,the attempted Detroit plane bombing on December 25.
301,"(CNN) -- When Petra Kvitova won her first grand slam title and the season-ending championships in 2011, big things were expected of the Czech tennis player. 

It's been a bumpy ride since, as the Czech struggled to live up to expectations last year, but Saturday's victory in the Dubai Tennis Championships final is evidence that the 22-year-old is getting back on track. 

Kvitova overcame a mid-match scare to beat last year's French Open finalist Sara Errani 6-2 1-6 6-1 to become the first player from her country to win the $2 million tournament. 

""I'm glad how I'm playing right now -- that's the important thing for me,"" said Kvitova, who had not won two matches in a row at a WTA event since August before last week's Doha tournament. 

""I'm not thinking this is a turning point for me. Yes, it was a lot of great players here and it was hard to beat them, but I'm still just thinking about my game. That's the priority."" 

It was the former Wimbledon champion's first title in six months, and her biggest since the WTA Championships in Istanbul, as the world No. 8 took home the $442,000 first prize. 

It capped a big week for Kvitova, who beat former world No. 1 and 2011 Dubai champion Caroline Wozniacki in the semifinals after ending the title defense of fourth-ranked Agnieszka Radwanska following a straight-sets win over Ana Ivanovic. 

She has bounced back from a shock second-round loss to British teenager Laura Robson at January's Australian Open and a surprise defeat by French wild-card entry Kristina Mladenovic at the Paris Open, winning both matches as the Czechs thrashed Australia in the first match of their Fed Cup title defense. ",In what round did she lose?,shock second-round loss
302,"An organic compound is virtually any chemical compound that contains carbon, although a consensus definition remains elusive and likely arbitrary. Organic compounds are rare terrestrially, but of central importance because all known life is based on organic compounds. The most basic petrochemicals are considered the building blocks of organic chemistry. 

For historical reasons discussed below, a few types of carbon-containing compounds, such as carbides, carbonates, simple oxides of carbon (for example, CO and CO), and cyanides are considered inorganic. The distinction between ""organic and inorganic"" carbon compounds, while ""useful in organizing the vast subject of chemistry... is somewhat arbitrary"". 

Organic chemistry is the science concerned with all aspects of organic compounds. Organic synthesis is the methodology of their preparation. 

For many centuries, Western physicians and chemists believed in vitalism. This was the widespread conception that substances found in organic nature are created from the chemical elements by the action of a ""vital force"" or ""life-force"" (""vis vitalis"") that only living organisms possess. Vitalism taught that these ""organic"" compounds were fundamentally different from the ""inorganic"" compounds that could be obtained from the elements by chemical manipulations. 

Vitalism survived for a while even after the rise of modern ideas about the atomic theory and chemical elements. It first came under question in 1824, when Friedrich Wöhler synthesized oxalic acid, a compound known to occur only in living organisms, from cyanogen. A more decisive experiment was Wöhler's 1828 synthesis of urea from the inorganic salts potassium cyanate and ammonium sulfate. Urea had long been considered an ""organic"" compound, as it was known to occur only in the urine of living organisms. Wöhler's experiments were followed by many others, in which increasingly complex ""organic"" substances were produced from ""inorganic"" ones without the involvement of any living organism.",What is one inorganic compound that contains carbon?," CO), and cyanides are considered inorganic"
303,"JERUSALEM (CNN) -- The world knows her as the daring nanny who, clutching a 2-year-old boy, pushed past the havoc in a terrorized Mumbai and risked her life to keep the toddler safe. 

Sandra Samuel bravely saved the life of Moshe Holtzberg, 2, but says she sees no heroism in her actions. 

But Sandra Samuel sees no heroism in her actions amid last week's terror attacks on India's financial capital that killed nearly 180 people -- including baby Moshe's parents, Rabbi Gavriel Holtzberg and his wife, Rivka. She only wishes she could have done more. 

""Even today, I am thinking I should have sent the baby and done something for the rabbi and his wife,"" Samuel told CNN in an exclusive television interview in Israel, where she now lives. 

Samuel and Moshe were among the few to make it out of the Chabad House alive after gunmen stormed the Jewish center, killing the Holtzbergs and four others. 

Israel's Chabad movement has set up a fund to provide for Moshe's care. He is being looked after by members of the community, although who will serve as his guardian has not yet been established. 

The nanny says she came face to face with a gunman late Wednesday, the first night of the siege. ""I saw one man was shooting at me -- he shot at me."" Watch CNN's Paula Hancocks talk with Samuel » 

She slammed a door and hid in a first-floor storage room and attempted to reach the rabbi and the others on the second floor. ",Did he die?,risked her life to keep the toddler safe
304,"Danny lived for football. He played it, watched it, talked and dreamed about it. His favourite football star was Keith Connolly - Lowgate's captain. One day in January, after school, Danny hurried through his homework. He wanted to watch TV. Keith Connolly was doing an interview on the local news programme. Danny hoped that the television wouldn't go fuzzy*or lose the sound when Keith Connolly was talking. It was an old set, and it did things like that. It wasn't clear enough, but at last Keith Connolly's smiling face appeared on the screen. ""What I really like about playing for Lowgate,"" he said, ""is the fans. They're the best. They always support us. It's wonderful running on to the playground to all that cheering and chanting."" Danny wished he could be in that crowd at the Lowgate ground, but the price of a single ticket was far above anything he could afford. There was no chance of the whole family going, or even just Danny and his little brother. ""You won again on Saturday,"" said the reporter. ""Did the team go out to celebrate?"" ""We went for a meal together,"" said Keith Connolly, ""but I have to be careful about what I eat, because I want to stay fit. I love doughnuts* very much ..."" Then the sound went fuzzy, and Danny jumped up and _ the top of the set heavily to make it come on again. He hadn't missed much. But he had missed something important. Keith Connolly had been saying ""... but I'm not allowed to eat doughnuts."" Danny hadn't heard that. All he heard was that Keith Connolly loved doughnuts. And at the end of Danny's street was a bakery*. It sold the biggest and the best doughnuts! When Danny went to bed, he lay wide-awake, making a plan.",Did he think they were the best?,"What I really like about playing for Lowgate,"" he said, ""is the fans. They're the best."
305,"Jack and his uncle went out walking in the woods near the river. They saw many things when they were in the woods. They saw a chipmunk, a butterfly, a squirrel and some birds. Jack heard a wolf howl. All of the sudden Jack heard a train whistle. It scared all of the animals away and that made Jack sad. 

After a bit, Jack heard his Auntie calling for them. Jack hoped that it was time for lunch because he was getting very hungry. He hope that there would be cookies to eat, he didn't want for there to be any vegetables. When they got to the house, his auntie was waiting there with a cake for them. Jack was excited and finished the sandwiches that she had made them for lunch. 

When they were finished his uncle told him that it was time to go home. It was getting late and Jack was going to be late for his bedtime if they didn't hurry. His bedtime was going to be a little earlier tonight because he had to go visit the doctor tomorrow and so there would be no story time before bed. 

Jack told his uncle that he had a great day and hoped that they could do it again soon.",What else?,a butterfly
306,"Anne Sanders was practicing soccer moves, which was not normal. Usually, Anne only plays basketball. She wins every basketball game she plays, and she loses at any other game. ""Anne"", I waved to her. ""Why are you playing soccer?"" 

""Well, the gym teacher is doing something different,"" she said. ""There are teams of four and partners of two.We get to pick our partners, and I want someone to pick me. ""Anne held up a list. 

""It looks like I'm on a team with you, Stacey, and Paul,"" I said. ""Stacey is my best friend.Maybe we can be together: "" Just then, Stacey and Paul came over. They had heard of the teams. 

""Do you want to be partners, Stacey?"" I asked. 

""Well, I was going to be partners with Paul,"" she claimed. I didn't blame her. Paul was as fast as a rocket, and my nickname was ""Snail"". ""But we are best friends,"" said Stacey. ""So I guess I'II be with you. "" 

It was our first game. Stacey went to talk to some other friends afterwards, and Paul and Anne were talking about winning their game. I was sipping on my water, when I overheard Stacey, ""She's worse than I thought; if I played the team alone,, I would have won easily. She's worse than a snail. She's more like a statue. "" 

That night, I felt terrible for losing and mad at Stacey for calling me a statue. After all, she was my best friend and my only friend. Anyway, the phone rang, and it was Stacey. At first, I thought she might apologize, but no such luck. 

""Allison, the game tomorrow is canceled, "" she said. 

""Okay,"" I replied. ""Sorry about the game today"", Stacey hung up on me. 

The next day, I went over to the soccer field. I knew the game was canceled, but maybe I could help clean up.But instead of a mess, I saw a soccer game in progress. Stacey and were playing, and Anne was hiding in the corner. ""Paul made me pretend to be sick, "" she whispered. ""He wants to play with Stacey because she's so fast. "" 

So Anne and I went to get ice cream. Even if I lost Stacey ,I just created a lifelong friendship.",Where did Allison go the next day?,"The next day, I went over to the soccer field"
